condition,order_scope,axis_value,display_value,runs,event_rate,entropy
baseline,AB,0.0,0,10,0.0,0.0
baseline,AB,2500.0,2500,10,0.0,0.0
baseline,AB,5000.0,5000,10,0.0,0.0
baseline,AB,7500.0,7500,10,0.1,0.4689955935892812
baseline,AB,10000.0,10000,10,0.1,0.4689955935892812
baseline,AB,12500.0,12500,10,0.5,1.0
baseline,AB,15000.0,15000,10,0.8,0.7219280948873623
baseline,AB,17500.0,17500,10,1.0,0.0
baseline,AB,20000.0,20000,10,1.0,0.0
baseline,AB,25000.0,25000,10,1.0,0.0
baseline,AB,30000.0,30000,10,1.0,0.0
constitution,AB,0.0,0,10,0.0,0.0
constitution,AB,2500.0,2500,10,0.0,0.0
constitution,AB,5000.0,5000,10,0.0,0.0
constitution,AB,7500.0,7500,10,0.0,0.0
constitution,AB,10000.0,10000,10,0.0,0.0
constitution,AB,12500.0,12500,10,0.4,0.9709505944546686
constitution,AB,15000.0,15000,10,1.0,0.0
constitution,AB,17500.0,17500,10,1.0,0.0
constitution,AB,20000.0,20000,10,1.0,0.0
constitution,AB,25000.0,25000,10,1.0,0.0
constitution,AB,30000.0,30000,10,1.0,0.0
placebo,AB,0.0,0,10,0.0,0.0
placebo,AB,2500.0,2500,10,0.0,0.0
placebo,AB,5000.0,5000,10,0.0,0.0
placebo,AB,7500.0,7500,10,0.0,0.0
placebo,AB,10000.0,10000,10,0.0,0.0
placebo,AB,12500.0,12500,10,0.1,0.4689955935892812
placebo,AB,15000.0,15000,10,0.2,0.7219280948873623
placebo,AB,17500.0,17500,10,0.9,0.4689955935892811
placebo,AB,20000.0,20000,10,1.0,0.0
placebo,AB,25000.0,25000,10,1.0,0.0
placebo,AB,30000.0,30000,10,1.0,0.0
reflection,AB,0.0,0,10,0.0,0.0
reflection,AB,2500.0,2500,10,0.0,0.0
reflection,AB,5000.0,5000,10,0.0,0.0
reflection,AB,7500.0,7500,10,0.0,0.0
reflection,AB,10000.0,10000,10,0.0,0.0
reflection,AB,12500.0,12500,10,0.0,0.0
reflection,AB,15000.0,15000,10,0.0,0.0
reflection,AB,17500.0,17500,10,0.2,0.7219280948873623
reflection,AB,20000.0,20000,10,0.6,0.9709505944546686
reflection,AB,25000.0,25000,10,1.0,0.0
reflection,AB,30000.0,30000,10,1.0,0.0
baseline,pooled,0.0,0,10,0.0,0.0
baseline,pooled,2500.0,2500,10,0.0,0.0
baseline,pooled,5000.0,5000,10,0.0,0.0
baseline,pooled,7500.0,7500,10,0.1,0.4689955935892812
baseline,pooled,10000.0,10000,10,0.1,0.4689955935892812
baseline,pooled,12500.0,12500,10,0.5,1.0
baseline,pooled,15000.0,15000,10,0.8,0.7219280948873623
baseline,pooled,17500.0,17500,10,1.0,0.0
baseline,pooled,20000.0,20000,10,1.0,0.0
baseline,pooled,25000.0,25000,10,1.0,0.0
baseline,pooled,30000.0,30000,10,1.0,0.0
constitution,pooled,0.0,0,10,0.0,0.0
constitution,pooled,2500.0,2500,10,0.0,0.0
constitution,pooled,5000.0,5000,10,0.0,0.0
constitution,pooled,7500.0,7500,10,0.0,0.0
constitution,pooled,10000.0,10000,10,0.0,0.0
constitution,pooled,12500.0,12500,10,0.4,0.9709505944546686
constitution,pooled,15000.0,15000,10,1.0,0.0
constitution,pooled,17500.0,17500,10,1.0,0.0
constitution,pooled,20000.0,20000,10,1.0,0.0
constitution,pooled,25000.0,25000,10,1.0,0.0
constitution,pooled,30000.0,30000,10,1.0,0.0
placebo,pooled,0.0,0,10,0.0,0.0
placebo,pooled,2500.0,2500,10,0.0,0.0
placebo,pooled,5000.0,5000,10,0.0,0.0
placebo,pooled,7500.0,7500,10,0.0,0.0
placebo,pooled,10000.0,10000,10,0.0,0.0
placebo,pooled,12500.0,12500,10,0.1,0.4689955935892812
placebo,pooled,15000.0,15000,10,0.2,0.7219280948873623
placebo,pooled,17500.0,17500,10,0.9,0.4689955935892811
placebo,pooled,20000.0,20000,10,1.0,0.0
placebo,pooled,25000.0,25000,10,1.0,0.0
placebo,pooled,30000.0,30000,10,1.0,0.0
reflection,pooled,0.0,0,10,0.0,0.0
reflection,pooled,2500.0,2500,10,0.0,0.0
reflection,pooled,5000.0,5000,10,0.0,0.0
reflection,pooled,7500.0,7500,10,0.0,0.0
reflection,pooled,10000.0,10000,10,0.0,0.0
reflection,pooled,12500.0,12500,10,0.0,0.0
reflection,pooled,15000.0,15000,10,0.0,0.0
reflection,pooled,17500.0,17500,10,0.2,0.7219280948873623
reflection,pooled,20000.0,20000,10,0.6,0.9709505944546686
reflection,pooled,25000.0,25000,10,1.0,0.0
reflection,pooled,30000.0,30000,10,1.0,0.0
