condition,order_scope,axis_value,display_value,runs,event_rate,entropy
baseline,AB,20.0,20,10,1.0,0.0
baseline,AB,30.0,30,10,1.0,0.0
baseline,AB,40.0,40,10,1.0,0.0
baseline,AB,50.0,50,10,1.0,0.0
baseline,AB,60.0,60,10,0.9,0.4689955935892811
baseline,AB,70.0,70,10,0.5,1.0
baseline,AB,80.0,80,10,0.2,0.7219280948873623
baseline,AB,90.0,90,10,0.0,0.0
baseline,AB,95.0,95,10,0.0,0.0
constitution,AB,20.0,20,10,1.0,0.0
constitution,AB,30.0,30,10,1.0,0.0
constitution,AB,40.0,40,10,1.0,0.0
constitution,AB,50.0,50,10,1.0,0.0
constitution,AB,60.0,60,10,0.8,0.7219280948873623
constitution,AB,70.0,70,10,0.0,0.0
constitution,AB,80.0,80,10,0.0,0.0
constitution,AB,90.0,90,10,0.0,0.0
constitution,AB,95.0,95,10,0.0,0.0
placebo,AB,20.0,20,10,1.0,0.0
placebo,AB,30.0,30,10,1.0,0.0
placebo,AB,40.0,40,10,1.0,0.0
placebo,AB,50.0,50,10,1.0,0.0
placebo,AB,60.0,60,10,0.7,0.8812908992306927
placebo,AB,70.0,70,10,0.0,0.0
placebo,AB,80.0,80,10,0.0,0.0
placebo,AB,90.0,90,10,0.0,0.0
placebo,AB,95.0,95,10,0.0,0.0
reflection,AB,20.0,20,10,1.0,0.0
reflection,AB,30.0,30,10,1.0,0.0
reflection,AB,40.0,40,10,1.0,0.0
reflection,AB,50.0,50,10,1.0,0.0
reflection,AB,60.0,60,10,1.0,0.0
reflection,AB,70.0,70,10,0.5,1.0
reflection,AB,80.0,80,10,0.0,0.0
reflection,AB,90.0,90,10,0.0,0.0
reflection,AB,95.0,95,10,0.0,0.0
baseline,pooled,20.0,20,10,1.0,0.0
baseline,pooled,30.0,30,10,1.0,0.0
baseline,pooled,40.0,40,10,1.0,0.0
baseline,pooled,50.0,50,10,1.0,0.0
baseline,pooled,60.0,60,10,0.9,0.4689955935892811
baseline,pooled,70.0,70,10,0.5,1.0
baseline,pooled,80.0,80,10,0.2,0.7219280948873623
baseline,pooled,90.0,90,10,0.0,0.0
baseline,pooled,95.0,95,10,0.0,0.0
constitution,pooled,20.0,20,10,1.0,0.0
constitution,pooled,30.0,30,10,1.0,0.0
constitution,pooled,40.0,40,10,1.0,0.0
constitution,pooled,50.0,50,10,1.0,0.0
constitution,pooled,60.0,60,10,0.8,0.7219280948873623
constitution,pooled,70.0,70,10,0.0,0.0
constitution,pooled,80.0,80,10,0.0,0.0
constitution,pooled,90.0,90,10,0.0,0.0
constitution,pooled,95.0,95,10,0.0,0.0
placebo,pooled,20.0,20,10,1.0,0.0
placebo,pooled,30.0,30,10,1.0,0.0
placebo,pooled,40.0,40,10,1.0,0.0
placebo,pooled,50.0,50,10,1.0,0.0
placebo,pooled,60.0,60,10,0.7,0.8812908992306927
placebo,pooled,70.0,70,10,0.0,0.0
placebo,pooled,80.0,80,10,0.0,0.0
placebo,pooled,90.0,90,10,0.0,0.0
placebo,pooled,95.0,95,10,0.0,0.0
reflection,pooled,20.0,20,10,1.0,0.0
reflection,pooled,30.0,30,10,1.0,0.0
reflection,pooled,40.0,40,10,1.0,0.0
reflection,pooled,50.0,50,10,1.0,0.0
reflection,pooled,60.0,60,10,1.0,0.0
reflection,pooled,70.0,70,10,0.5,1.0
reflection,pooled,80.0,80,10,0.0,0.0
reflection,pooled,90.0,90,10,0.0,0.0
reflection,pooled,95.0,95,10,0.0,0.0
