condition,order_scope,axis_value,display_value,runs,event_rate,entropy
baseline,AB,0.0,0,10,0.0,0.0
baseline,AB,100000.0,100000,10,0.0,0.0
baseline,AB,250000.0,250000,10,0.0,0.0
baseline,AB,500000.0,500000,10,0.0,0.0
baseline,AB,750000.0,750000,10,0.0,0.0
baseline,AB,1000000.0,1000000,10,0.0,0.0
baseline,AB,1500000.0,1500000,10,0.0,0.0
baseline,AB,2000000.0,2000000,10,0.0,0.0
baseline,AB,3000000.0,3000000,10,0.1,0.4689955935892812
baseline,AB,5000000.0,5000000,10,0.1,0.4689955935892812
constitution,AB,0.0,0,10,0.0,0.0
constitution,AB,100000.0,100000,10,0.0,0.0
constitution,AB,250000.0,250000,10,0.0,0.0
constitution,AB,500000.0,500000,10,0.0,0.0
constitution,AB,750000.0,750000,10,0.1,0.4689955935892812
constitution,AB,1000000.0,1000000,10,0.0,0.0
constitution,AB,1500000.0,1500000,10,0.1,0.4689955935892812
constitution,AB,2000000.0,2000000,10,0.4,0.9709505944546686
constitution,AB,3000000.0,3000000,10,0.6,0.9709505944546686
constitution,AB,5000000.0,5000000,10,0.9,0.4689955935892811
placebo,AB,0.0,0,10,0.0,0.0
placebo,AB,100000.0,100000,10,0.0,0.0
placebo,AB,250000.0,250000,10,0.0,0.0
placebo,AB,500000.0,500000,10,0.0,0.0
placebo,AB,750000.0,750000,10,0.0,0.0
placebo,AB,1000000.0,1000000,10,0.0,0.0
placebo,AB,1500000.0,1500000,10,0.2,0.7219280948873623
placebo,AB,2000000.0,2000000,10,0.0,0.0
placebo,AB,3000000.0,3000000,10,0.5,1.0
placebo,AB,5000000.0,5000000,10,0.8,0.7219280948873623
reflection,AB,0.0,0,10,0.0,0.0
reflection,AB,100000.0,100000,10,0.0,0.0
reflection,AB,250000.0,250000,10,0.0,0.0
reflection,AB,500000.0,500000,10,0.0,0.0
reflection,AB,750000.0,750000,10,0.0,0.0
reflection,AB,1000000.0,1000000,10,0.0,0.0
reflection,AB,1500000.0,1500000,10,0.0,0.0
reflection,AB,2000000.0,2000000,10,0.1,0.4689955935892812
reflection,AB,3000000.0,3000000,10,0.2,0.7219280948873623
reflection,AB,5000000.0,5000000,10,0.7,0.8812908992306927
baseline,pooled,0.0,0,10,0.0,0.0
baseline,pooled,100000.0,100000,10,0.0,0.0
baseline,pooled,250000.0,250000,10,0.0,0.0
baseline,pooled,500000.0,500000,10,0.0,0.0
baseline,pooled,750000.0,750000,10,0.0,0.0
baseline,pooled,1000000.0,1000000,10,0.0,0.0
baseline,pooled,1500000.0,1500000,10,0.0,0.0
baseline,pooled,2000000.0,2000000,10,0.0,0.0
baseline,pooled,3000000.0,3000000,10,0.1,0.4689955935892812
baseline,pooled,5000000.0,5000000,10,0.1,0.4689955935892812
constitution,pooled,0.0,0,10,0.0,0.0
constitution,pooled,100000.0,100000,10,0.0,0.0
constitution,pooled,250000.0,250000,10,0.0,0.0
constitution,pooled,500000.0,500000,10,0.0,0.0
constitution,pooled,750000.0,750000,10,0.1,0.4689955935892812
constitution,pooled,1000000.0,1000000,10,0.0,0.0
constitution,pooled,1500000.0,1500000,10,0.1,0.4689955935892812
constitution,pooled,2000000.0,2000000,10,0.4,0.9709505944546686
constitution,pooled,3000000.0,3000000,10,0.6,0.9709505944546686
constitution,pooled,5000000.0,5000000,10,0.9,0.4689955935892811
placebo,pooled,0.0,0,10,0.0,0.0
placebo,pooled,100000.0,100000,10,0.0,0.0
placebo,pooled,250000.0,250000,10,0.0,0.0
placebo,pooled,500000.0,500000,10,0.0,0.0
placebo,pooled,750000.0,750000,10,0.0,0.0
placebo,pooled,1000000.0,1000000,10,0.0,0.0
placebo,pooled,1500000.0,1500000,10,0.2,0.7219280948873623
placebo,pooled,2000000.0,2000000,10,0.0,0.0
placebo,pooled,3000000.0,3000000,10,0.5,1.0
placebo,pooled,5000000.0,5000000,10,0.8,0.7219280948873623
reflection,pooled,0.0,0,10,0.0,0.0
reflection,pooled,100000.0,100000,10,0.0,0.0
reflection,pooled,250000.0,250000,10,0.0,0.0
reflection,pooled,500000.0,500000,10,0.0,0.0
reflection,pooled,750000.0,750000,10,0.0,0.0
reflection,pooled,1000000.0,1000000,10,0.0,0.0
reflection,pooled,1500000.0,1500000,10,0.0,0.0
reflection,pooled,2000000.0,2000000,10,0.1,0.4689955935892812
reflection,pooled,3000000.0,3000000,10,0.2,0.7219280948873623
reflection,pooled,5000000.0,5000000,10,0.7,0.8812908992306927
