condition,order_scope,axis_value,display_value,runs,event_rate,entropy
baseline,AB,5.0,5,10,1.0,0.0
baseline,AB,10.0,10,10,1.0,0.0
baseline,AB,20.0,20,10,1.0,0.0
baseline,AB,35.0,35,10,0.9,0.4689955935892811
baseline,AB,50.0,50,10,0.3,0.8812908992306927
baseline,AB,75.0,75,10,0.2,0.7219280948873623
baseline,AB,100.0,100,10,0.4,0.9709505944546686
baseline,AB,150.0,150,10,0.0,0.0
baseline,AB,250.0,250,10,0.0,0.0
baseline,AB,400.0,400,10,0.0,0.0
constitution,AB,5.0,5,10,1.0,0.0
constitution,AB,10.0,10,10,1.0,0.0
constitution,AB,20.0,20,10,0.6,0.9709505944546686
constitution,AB,35.0,35,10,0.0,0.0
constitution,AB,50.0,50,10,0.0,0.0
constitution,AB,75.0,75,10,0.0,0.0
constitution,AB,100.0,100,10,0.0,0.0
constitution,AB,150.0,150,10,0.0,0.0
constitution,AB,250.0,250,10,0.0,0.0
constitution,AB,400.0,400,10,0.0,0.0
placebo,AB,5.0,5,10,1.0,0.0
placebo,AB,10.0,10,10,1.0,0.0
placebo,AB,20.0,20,10,1.0,0.0
placebo,AB,35.0,35,10,0.0,0.0
placebo,AB,50.0,50,10,0.0,0.0
placebo,AB,75.0,75,10,0.0,0.0
placebo,AB,100.0,100,10,0.0,0.0
placebo,AB,150.0,150,10,0.0,0.0
placebo,AB,250.0,250,10,0.0,0.0
placebo,AB,400.0,400,10,0.0,0.0
reflection,AB,5.0,5,10,1.0,0.0
reflection,AB,10.0,10,10,1.0,0.0
reflection,AB,20.0,20,10,0.7,0.8812908992306927
reflection,AB,35.0,35,10,0.0,0.0
reflection,AB,50.0,50,10,0.0,0.0
reflection,AB,75.0,75,10,0.0,0.0
reflection,AB,100.0,100,10,0.0,0.0
reflection,AB,150.0,150,10,0.0,0.0
reflection,AB,250.0,250,10,0.0,0.0
reflection,AB,400.0,400,10,0.0,0.0
baseline,pooled,5.0,5,10,1.0,0.0
baseline,pooled,10.0,10,10,1.0,0.0
baseline,pooled,20.0,20,10,1.0,0.0
baseline,pooled,35.0,35,10,0.9,0.4689955935892811
baseline,pooled,50.0,50,10,0.3,0.8812908992306927
baseline,pooled,75.0,75,10,0.2,0.7219280948873623
baseline,pooled,100.0,100,10,0.4,0.9709505944546686
baseline,pooled,150.0,150,10,0.0,0.0
baseline,pooled,250.0,250,10,0.0,0.0
baseline,pooled,400.0,400,10,0.0,0.0
constitution,pooled,5.0,5,10,1.0,0.0
constitution,pooled,10.0,10,10,1.0,0.0
constitution,pooled,20.0,20,10,0.6,0.9709505944546686
constitution,pooled,35.0,35,10,0.0,0.0
constitution,pooled,50.0,50,10,0.0,0.0
constitution,pooled,75.0,75,10,0.0,0.0
constitution,pooled,100.0,100,10,0.0,0.0
constitution,pooled,150.0,150,10,0.0,0.0
constitution,pooled,250.0,250,10,0.0,0.0
constitution,pooled,400.0,400,10,0.0,0.0
placebo,pooled,5.0,5,10,1.0,0.0
placebo,pooled,10.0,10,10,1.0,0.0
placebo,pooled,20.0,20,10,1.0,0.0
placebo,pooled,35.0,35,10,0.0,0.0
placebo,pooled,50.0,50,10,0.0,0.0
placebo,pooled,75.0,75,10,0.0,0.0
placebo,pooled,100.0,100,10,0.0,0.0
placebo,pooled,150.0,150,10,0.0,0.0
placebo,pooled,250.0,250,10,0.0,0.0
placebo,pooled,400.0,400,10,0.0,0.0
reflection,pooled,5.0,5,10,1.0,0.0
reflection,pooled,10.0,10,10,1.0,0.0
reflection,pooled,20.0,20,10,0.7,0.8812908992306927
reflection,pooled,35.0,35,10,0.0,0.0
reflection,pooled,50.0,50,10,0.0,0.0
reflection,pooled,75.0,75,10,0.0,0.0
reflection,pooled,100.0,100,10,0.0,0.0
reflection,pooled,150.0,150,10,0.0,0.0
reflection,pooled,250.0,250,10,0.0,0.0
reflection,pooled,400.0,400,10,0.0,0.0
