condition,order_scope,axis_value,display_value,runs,event_rate,entropy
baseline,AB,0.0,0,5,0.0,0.0
baseline,AB,1.0,1,5,0.0,0.0
baseline,AB,2.0,2,5,0.2,0.7219280948873623
baseline,AB,3.0,3,5,0.8,0.7219280948873623
baseline,AB,4.0,4,5,1.0,0.0
baseline,AB,5.0,5,5,1.0,0.0
baseline,AB,10.0,10,5,1.0,0.0
constitution,AB,0.0,0,5,0.0,0.0
constitution,AB,1.0,1,5,0.0,0.0
constitution,AB,2.0,2,5,0.0,0.0
constitution,AB,3.0,3,5,0.0,0.0
constitution,AB,4.0,4,5,0.0,0.0
constitution,AB,5.0,5,5,0.0,0.0
constitution,AB,10.0,10,5,1.0,0.0
placebo,AB,0.0,0,5,0.0,0.0
placebo,AB,1.0,1,5,0.0,0.0
placebo,AB,2.0,2,5,0.0,0.0
placebo,AB,3.0,3,5,0.0,0.0
placebo,AB,4.0,4,5,0.6,0.9709505944546686
placebo,AB,5.0,5,5,1.0,0.0
placebo,AB,10.0,10,5,1.0,0.0
reflection,AB,0.0,0,5,0.0,0.0
reflection,AB,1.0,1,5,0.0,0.0
reflection,AB,2.0,2,5,0.0,0.0
reflection,AB,3.0,3,5,0.0,0.0
reflection,AB,4.0,4,5,0.0,0.0
reflection,AB,5.0,5,5,0.0,0.0
reflection,AB,10.0,10,5,1.0,0.0
baseline,pooled,0.0,0,5,0.0,0.0
baseline,pooled,1.0,1,5,0.0,0.0
baseline,pooled,2.0,2,5,0.2,0.7219280948873623
baseline,pooled,3.0,3,5,0.8,0.7219280948873623
baseline,pooled,4.0,4,5,1.0,0.0
baseline,pooled,5.0,5,5,1.0,0.0
baseline,pooled,10.0,10,5,1.0,0.0
constitution,pooled,0.0,0,5,0.0,0.0
constitution,pooled,1.0,1,5,0.0,0.0
constitution,pooled,2.0,2,5,0.0,0.0
constitution,pooled,3.0,3,5,0.0,0.0
constitution,pooled,4.0,4,5,0.0,0.0
constitution,pooled,5.0,5,5,0.0,0.0
constitution,pooled,10.0,10,5,1.0,0.0
placebo,pooled,0.0,0,5,0.0,0.0
placebo,pooled,1.0,1,5,0.0,0.0
placebo,pooled,2.0,2,5,0.0,0.0
placebo,pooled,3.0,3,5,0.0,0.0
placebo,pooled,4.0,4,5,0.6,0.9709505944546686
placebo,pooled,5.0,5,5,1.0,0.0
placebo,pooled,10.0,10,5,1.0,0.0
reflection,pooled,0.0,0,5,0.0,0.0
reflection,pooled,1.0,1,5,0.0,0.0
reflection,pooled,2.0,2,5,0.0,0.0
reflection,pooled,3.0,3,5,0.0,0.0
reflection,pooled,4.0,4,5,0.0,0.0
reflection,pooled,5.0,5,5,0.0,0.0
reflection,pooled,10.0,10,5,1.0,0.0
