condition,order_scope,axis_value,display_value,runs,event_rate,entropy
baseline,AB,0.0,0,5,0.0,0.0
baseline,AB,5000.0,5000,5,0.0,0.0
baseline,AB,10000.0,10000,5,0.0,0.0
baseline,AB,15000.0,15000,5,0.0,0.0
baseline,AB,20000.0,20000,5,0.4,0.9709505944546686
baseline,AB,25000.0,25000,5,0.6,0.9709505944546686
baseline,AB,30000.0,30000,5,1.0,0.0
placebo,AB,0.0,0,5,0.0,0.0
placebo,AB,5000.0,5000,5,0.0,0.0
placebo,AB,10000.0,10000,5,0.2,0.7219280948873623
placebo,AB,15000.0,15000,5,0.4,0.9709505944546686
placebo,AB,20000.0,20000,5,1.0,0.0
placebo,AB,25000.0,25000,5,1.0,0.0
placebo,AB,30000.0,30000,5,1.0,0.0
reflection,AB,0.0,0,5,0.0,0.0
reflection,AB,5000.0,5000,5,0.0,0.0
reflection,AB,10000.0,10000,5,0.0,0.0
reflection,AB,15000.0,15000,5,0.2,0.7219280948873623
reflection,AB,20000.0,20000,5,1.0,0.0
reflection,AB,25000.0,25000,5,1.0,0.0
reflection,AB,30000.0,30000,5,1.0,0.0
baseline,pooled,0.0,0,5,0.0,0.0
baseline,pooled,5000.0,5000,5,0.0,0.0
baseline,pooled,10000.0,10000,5,0.0,0.0
baseline,pooled,15000.0,15000,5,0.0,0.0
baseline,pooled,20000.0,20000,5,0.4,0.9709505944546686
baseline,pooled,25000.0,25000,5,0.6,0.9709505944546686
baseline,pooled,30000.0,30000,5,1.0,0.0
placebo,pooled,0.0,0,5,0.0,0.0
placebo,pooled,5000.0,5000,5,0.0,0.0
placebo,pooled,10000.0,10000,5,0.2,0.7219280948873623
placebo,pooled,15000.0,15000,5,0.4,0.9709505944546686
placebo,pooled,20000.0,20000,5,1.0,0.0
placebo,pooled,25000.0,25000,5,1.0,0.0
placebo,pooled,30000.0,30000,5,1.0,0.0
reflection,pooled,0.0,0,5,0.0,0.0
reflection,pooled,5000.0,5000,5,0.0,0.0
reflection,pooled,10000.0,10000,5,0.0,0.0
reflection,pooled,15000.0,15000,5,0.2,0.7219280948873623
reflection,pooled,20000.0,20000,5,1.0,0.0
reflection,pooled,25000.0,25000,5,1.0,0.0
reflection,pooled,30000.0,30000,5,1.0,0.0
