condition,order_scope,axis_value,display_value,runs,event_rate,entropy
baseline,AB,0.0,0,5,0.0,0.0
baseline,AB,250000.0,250000,5,0.2,0.7219280948873623
baseline,AB,500000.0,500000,5,1.0,0.0
baseline,AB,1000000.0,1000000,5,1.0,0.0
baseline,AB,2000000.0,2000000,5,1.0,0.0
baseline,AB,3000000.0,3000000,5,1.0,0.0
baseline,AB,5000000.0,5000000,5,1.0,0.0
placebo,AB,0.0,0,5,0.0,0.0
placebo,AB,250000.0,250000,5,1.0,0.0
placebo,AB,500000.0,500000,5,1.0,0.0
placebo,AB,1000000.0,1000000,5,1.0,0.0
placebo,AB,2000000.0,2000000,5,1.0,0.0
placebo,AB,3000000.0,3000000,5,1.0,0.0
placebo,AB,5000000.0,5000000,5,1.0,0.0
reflection,AB,0.0,0,5,0.0,0.0
reflection,AB,250000.0,250000,5,1.0,0.0
reflection,AB,500000.0,500000,5,1.0,0.0
reflection,AB,1000000.0,1000000,5,1.0,0.0
reflection,AB,2000000.0,2000000,5,1.0,0.0
reflection,AB,3000000.0,3000000,5,1.0,0.0
reflection,AB,5000000.0,5000000,5,1.0,0.0
baseline,pooled,0.0,0,5,0.0,0.0
baseline,pooled,250000.0,250000,5,0.2,0.7219280948873623
baseline,pooled,500000.0,500000,5,1.0,0.0
baseline,pooled,1000000.0,1000000,5,1.0,0.0
baseline,pooled,2000000.0,2000000,5,1.0,0.0
baseline,pooled,3000000.0,3000000,5,1.0,0.0
baseline,pooled,5000000.0,5000000,5,1.0,0.0
placebo,pooled,0.0,0,5,0.0,0.0
placebo,pooled,250000.0,250000,5,1.0,0.0
placebo,pooled,500000.0,500000,5,1.0,0.0
placebo,pooled,1000000.0,1000000,5,1.0,0.0
placebo,pooled,2000000.0,2000000,5,1.0,0.0
placebo,pooled,3000000.0,3000000,5,1.0,0.0
placebo,pooled,5000000.0,5000000,5,1.0,0.0
reflection,pooled,0.0,0,5,0.0,0.0
reflection,pooled,250000.0,250000,5,1.0,0.0
reflection,pooled,500000.0,500000,5,1.0,0.0
reflection,pooled,1000000.0,1000000,5,1.0,0.0
reflection,pooled,2000000.0,2000000,5,1.0,0.0
reflection,pooled,3000000.0,3000000,5,1.0,0.0
reflection,pooled,5000000.0,5000000,5,1.0,0.0
