condition,order_scope,axis_value,display_value,runs,event_rate,entropy
constitution,AB,0.0,0,5,0.0,0.0
constitution,AB,5000.0,5000,5,0.0,0.0
constitution,AB,10000.0,10000,5,0.2,0.7219280948873623
constitution,AB,15000.0,15000,5,0.2,0.7219280948873623
constitution,AB,20000.0,20000,5,0.8,0.7219280948873623
constitution,AB,25000.0,25000,5,1.0,0.0
constitution,AB,30000.0,30000,5,1.0,0.0
constitution,pooled,0.0,0,5,0.0,0.0
constitution,pooled,5000.0,5000,5,0.0,0.0
constitution,pooled,10000.0,10000,5,0.2,0.7219280948873623
constitution,pooled,15000.0,15000,5,0.2,0.7219280948873623
constitution,pooled,20000.0,20000,5,0.8,0.7219280948873623
constitution,pooled,25000.0,25000,5,1.0,0.0
constitution,pooled,30000.0,30000,5,1.0,0.0
