condition,order_scope,axis_value,display_value,runs,event_rate,entropy
constitution,AB,0.0,0,5,0.0,0.0
constitution,AB,1.0,1,5,0.0,0.0
constitution,AB,2.0,2,5,0.0,0.0
constitution,AB,3.0,3,5,0.0,0.0
constitution,AB,4.0,4,5,1.0,0.0
constitution,AB,5.0,5,5,1.0,0.0
constitution,AB,10.0,10,5,1.0,0.0
constitution,pooled,0.0,0,5,0.0,0.0
constitution,pooled,1.0,1,5,0.0,0.0
constitution,pooled,2.0,2,5,0.0,0.0
constitution,pooled,3.0,3,5,0.0,0.0
constitution,pooled,4.0,4,5,1.0,0.0
constitution,pooled,5.0,5,5,1.0,0.0
constitution,pooled,10.0,10,5,1.0,0.0
