condition,order_scope,axis_value,display_value,runs,event_rate,entropy
constitution,AB,0.0,0,5,0.0,0.0
constitution,AB,250000.0,250000,5,1.0,0.0
constitution,AB,500000.0,500000,5,1.0,0.0
constitution,AB,1000000.0,1000000,5,1.0,0.0
constitution,AB,2000000.0,2000000,5,1.0,0.0
constitution,AB,3000000.0,3000000,5,1.0,0.0
constitution,AB,5000000.0,5000000,5,1.0,0.0
constitution,pooled,0.0,0,5,0.0,0.0
constitution,pooled,250000.0,250000,5,1.0,0.0
constitution,pooled,500000.0,500000,5,1.0,0.0
constitution,pooled,1000000.0,1000000,5,1.0,0.0
constitution,pooled,2000000.0,2000000,5,1.0,0.0
constitution,pooled,3000000.0,3000000,5,1.0,0.0
constitution,pooled,5000000.0,5000000,5,1.0,0.0
