condition,order_scope,axis_value,display_value,runs,event_rate,entropy
constitution,AB,0.0,0,5,0.0,0.0
constitution,AB,50000.0,50000,5,0.0,0.0
constitution,AB,100000.0,100000,5,0.0,0.0
constitution,AB,250000.0,250000,5,0.2,0.7219280948873623
constitution,AB,500000.0,500000,5,0.8,0.7219280948873623
constitution,AB,5000000.0,5000000,5,1.0,0.0
constitution,AB,50000000.0,50000000,5,1.0,0.0
constitution,pooled,0.0,0,5,0.0,0.0
constitution,pooled,50000.0,50000,5,0.0,0.0
constitution,pooled,100000.0,100000,5,0.0,0.0
constitution,pooled,250000.0,250000,5,0.2,0.7219280948873623
constitution,pooled,500000.0,500000,5,0.8,0.7219280948873623
constitution,pooled,5000000.0,5000000,5,1.0,0.0
constitution,pooled,50000000.0,50000000,5,1.0,0.0
