condition,order_scope,axis_value,display_value,runs,event_rate,entropy
baseline,AB,0.0,0,5,0.0,0.0
baseline,AB,100000.0,100000,5,0.8,0.7219280948873623
baseline,AB,500000.0,500000,5,1.0,0.0
baseline,AB,1000000.0,1000000,5,1.0,0.0
baseline,AB,5000000.0,5000000,5,1.0,0.0
baseline,AB,25000000.0,25000000,5,1.0,0.0
baseline,AB,100000000.0,100000000,5,1.0,0.0
placebo,AB,0.0,0,5,0.0,0.0
placebo,AB,100000.0,100000,5,0.6,0.9709505944546686
placebo,AB,500000.0,500000,5,1.0,0.0
placebo,AB,1000000.0,1000000,5,1.0,0.0
placebo,AB,5000000.0,5000000,5,1.0,0.0
placebo,AB,25000000.0,25000000,5,1.0,0.0
placebo,AB,100000000.0,100000000,5,1.0,0.0
reflection,AB,0.0,0,5,0.0,0.0
reflection,AB,100000.0,100000,5,0.0,0.0
reflection,AB,500000.0,500000,5,0.2,0.7219280948873623
reflection,AB,1000000.0,1000000,5,0.6,0.9709505944546686
reflection,AB,5000000.0,5000000,5,1.0,0.0
reflection,AB,25000000.0,25000000,5,1.0,0.0
reflection,AB,100000000.0,100000000,5,1.0,0.0
baseline,pooled,0.0,0,5,0.0,0.0
baseline,pooled,100000.0,100000,5,0.8,0.7219280948873623
baseline,pooled,500000.0,500000,5,1.0,0.0
baseline,pooled,1000000.0,1000000,5,1.0,0.0
baseline,pooled,5000000.0,5000000,5,1.0,0.0
baseline,pooled,25000000.0,25000000,5,1.0,0.0
baseline,pooled,100000000.0,100000000,5,1.0,0.0
placebo,pooled,0.0,0,5,0.0,0.0
placebo,pooled,100000.0,100000,5,0.6,0.9709505944546686
placebo,pooled,500000.0,500000,5,1.0,0.0
placebo,pooled,1000000.0,1000000,5,1.0,0.0
placebo,pooled,5000000.0,5000000,5,1.0,0.0
placebo,pooled,25000000.0,25000000,5,1.0,0.0
placebo,pooled,100000000.0,100000000,5,1.0,0.0
reflection,pooled,0.0,0,5,0.0,0.0
reflection,pooled,100000.0,100000,5,0.0,0.0
reflection,pooled,500000.0,500000,5,0.2,0.7219280948873623
reflection,pooled,1000000.0,1000000,5,0.6,0.9709505944546686
reflection,pooled,5000000.0,5000000,5,1.0,0.0
reflection,pooled,25000000.0,25000000,5,1.0,0.0
reflection,pooled,100000000.0,100000000,5,1.0,0.0
